"YEAR","Topic","Subtopic","ShortQuestionText","Greater_Risk_Question","Description","Greater_Risk_Data_Value","Greater_Risk_Low_Confidence_Limit","Greater_Risk_High_Confidence_Limit","Lesser_Risk_Question","Lesser_Risk_Data_Value","Lesser_Risk_Low_Confidence_Limit","Lesser_Risk_High_Confidence_Limit","Sample_Size","Sex","Race","Grade","GeoLocation","TopicId","SubTopicID","QuestionCode","LocationId","StratificationType","State"
2013,"Tobacco Use","Cigarette Use","Frequent cigarette use","Currently smoked cigarettes frequently","on 20 or more days during the 30 days before the survey",0.5,0.06,4.09,"Did not currently smoke cigarettes frequently",99.5,95.91,99.94,149,"Total","Black or African American","10th","(32.83968109300048, -83.62758034599966)","TUS01","CIG01","QNFRCIG","13","State","Georgia"
2001,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Gun carrying","Carried a gun","on at least 1 day during the 30 days before the survey",4.4,1.83,10.27,"Did not carry a gun",95.6,89.73,98.17,323,"Total","Black or African American","12th","(31.827240407000488, -99.42677020599967)","UIV01","VIO01","H14","48","State","Texas"
2013,"Alcohol and Other Drug Use","Alcohol Use","Initiation of alcohol use","Drank alcohol before age 13 years","for the first time other than a few sips",24.2,18.53,30.91,"Did not drink alcohol before age 13 years",75.8,69.09,81.47,224,"Male","Total","9th","(39.493240390000494, -117.07184056399967)","AOD01","ALC01","H42","32","State","Nevada"
2015,"Tobacco Use","Other Tobacco Use","Current cigar use","Currently smoked cigars","cigars, cigarillos, or little cigars on at least 1 day during the 30 days before the survey",9.4,4.49,18.55,"Did not currently smoke cigars",90.6,81.45,95.51,188,"Total","Hispanic or Latino","9th","(44.6613195430005, -84.71439026999968)","TUS01","OTU01","H38","26","State","Michigan"
2001,"Physical Activity","Physical Activity","Daily PE attendance","Did not attend physical education classes on all 5 days","in an average week when they were in school",76.1,66.45,83.59,"Attended physical education classes on all 5 days",23.9,16.41,33.55,324,"Male","White","11th","(44.6613195430005, -84.71439026999968)","PHA01","PAC01","QNDLYPE","26","State","Michigan"
2013,"Alcohol and Other Drug Use","Alcohol Use","Largest number of drinks","Reported that the largest number of drinks they had in a row was 10 or more","within a couple of hours during the 30 days before the survey",2.7,1.63,4.46,"Reported that the largest number of drinks they had in a row was less than 10",97.3,95.54,98.37,565,"Total","White","10th","(42.82700103200045, -75.54397042699964)","AOD01","ALC01","H45","36","State","New York"
1995,"Alcohol and Other Drug Use","Other Drug Use","Ever marijuana use","Ever used marijuana","one or more times during their life",45.7,38.56,53.1,"Never used marijuana",54.3,46.9,61.44,331,"Total","Total","10th","(21.304850435000446, -157.85774940299973)","AOD01","ODU01","H47","15","State","Hawaii"
2003,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",5.8,3.82,8.8,"Did not currently smoke cigarettes",94.2,91.2,96.18,373,"Female","Black or African American","Total","(32.83968109300048, -83.62758034599966)","TUS01","CIG01","H33","13","State","Georgia"
2011,"Tobacco Use","Other Tobacco Use","Current cigar use","Currently smoked cigars","cigars, cigarillos, or little cigars on at least 1 day during the 30 days before the survey",12.4,9.1,16.76,"Did not currently smoke cigars",87.6,83.24,90.9,353,"Total","Black or African American","10th","(39.29058096400047, -76.60926011099963)","TUS01","OTU01","H38","24","State","Maryland"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Sexual dating violence","Experienced sexual dating violence","counting kissing, touching, or being physically forced to have sexual intercourse when they did not want to by someone they were dating or going out with one or more times during the 12 months before the survey, among students who dated or went out with someone during the 12 months before the survey",11.7,9.85,13.91,"Did not experience sexual dating violence",88.3,86.09,90.15,1356,"Total","Hispanic or Latino","Total","(28.932040377000476, -81.92896053899966)","UIV01","VIO01","H23","12","State","Florida"
2003,"Obesity, Overweight, and Weight Control","Weight Control","Perception of weight","Described themselves as slightly or very overweight",,21.8,19.1,24.87,"N/A",78.2,75.13,80.9,771,"Male","Total","Total","(43.23554134300048, -108.10983035299967)","OOW01","WTC01","H69","56","State","Wyoming"
2011,"Sexual Behaviors","Sexual Behaviors","Sex before 13 years","Had sexual intercourse before age 13 years","for the first time",4.5,2.47,8.04,"Did not have sexual intercourse before age 13 years",95.5,91.96,97.53,198,"Total","White","10th","(39.008830667000495, -75.57774116799965)","SBH01","SXB01","H61","10","State","Delaware"
2001,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Threatened at school","Were threatened or injured with a weapon on school property","such as, a gun, knife, or club, one or more times during the 12 months before the survey",8,5.64,11.32,"Were not threatened or injured with a weapon on school property",92,88.68,94.36,487,"Female","Total","11th","(28.932040377000476, -81.92896053899966)","UIV01","VIO01","H17","12","State","Florida"
2011,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 1 time","N/A","during the 7 days before the survey",30.3,22.01,40.02,"Ate fruit or drank 100% fruit juices one or more times per day",69.7,59.98,77.99,363,"Male","Black or African American","9th","(42.82700103200045, -75.54397042699964)","DBH01","FFJ01","QNFR1","36","State","New York"
2011,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting","Were in a physical fight","one or more times during the 12 months before the survey",31.4,28.17,34.81,"Were not in a physical fight",68.6,65.19,71.83,1138,"Male","White","Total","(28.932040377000476, -81.92896053899966)","UIV01","VIO01","H18","12","State","Florida"
2003,"Dietary Behaviors","Milk","Milk drinking >= 3 glasses","N/A","during the 7 days before the survey",90.2,86.95,92.68,"Drank three or more glasses per day of milk",9.8,7.32,13.05,299,"Female","White","12th","(42.27687047000046, -72.08269067499964)","DBH01","MLK01","QNMILK3","25","State","Massachusetts"
2007,"Dietary Behaviors","Milk","Milk drinking >= 1 glass","N/A","during the 7 days before the survey",74.5,62.31,83.78,"Drank one or more glasses per day of milk",25.5,16.22,37.69,109,"Female","White","12th","(31.827240407000488, -99.42677020599967)","DBH01","MLK01","QNMILK1","48","State","Texas"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Riding with a drinking driver","Rode with a driver who had been drinking alcohol","in a car or other vehicle one or more times during the 30 days before the survey",24.2,16.11,34.7,"Did not ride with a driver who had been drinking alcohol",75.8,65.3,83.89,119,"Female","White","12th","(41.6410409880005, -99.36572062299967)","UIV01","UIN01","H10","31","State","Nebraska"
2013,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Attempted suicide","Attempted suicide","one or more times during the 12 months before the survey",5.9,3.76,9.16,"Did not attempt suicide",94.1,90.84,96.24,346,"Female","Total","10th","(42.27687047000046, -72.08269067499964)","UIV01","SRB01","H29","25","State","Massachusetts"
2011,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting at school","Were in a physical fight on school property","one or more times during the 12 months before the survey",5.3,2.32,11.77,"Were not in a physical fight on school property",94.7,88.23,97.68,189,"Female","Total","11th","(34.74865012400045, -92.27449074299966)","UIV01","VIO01","H20","05","State","Arkansas"
2015,"Other Health Topics","Oral Health Care","Oral health care","Did not see a dentist","for a check-up, exam, teeth cleaning, or other dental work during the 12 months before the survey",33.9,16.47,57.21,"Saw a dentist",66.1,42.79,83.53,225,"Total","Hispanic or Latino","9th","(41.70828019300046, -71.52247031399963)","OHT01","OHC01","H86","44","State","Rhode Island"
2007,"Alcohol and Other Drug Use","Other Drug Use","Ever steroid use","Ever took steroids without a doctor's prescription","pills or shots, one or more times during their life",5.2,3.79,7.1,"Never took steroids without a doctor's prescription",94.8,92.9,96.21,1756,"Male","Total","Total","(35.466220975000454, -79.15925046299964)","AOD01","ODU01","H56","37","State","North Carolina"
2001,"Dietary Behaviors","Milk","Milk drinking >= 1 glass","N/A","during the 7 days before the survey",73.3,67.2,78.66,"Drank one or more glasses per day of milk",26.7,21.34,32.8,285,"Total","Black or African American","9th","(28.932040377000476, -81.92896053899966)","DBH01","MLK01","QNMILK1","12","State","Florida"
2015,"Other Health Topics","Asthma","Asthma","Had ever been told by a doctor or nurse that they had asthma",,26.5,23.38,29.82,"Had never been told by a doctor or nurse that they had asthma",73.5,70.18,76.62,562,"Male","Hispanic or Latino","12th","(39.29058096400047, -76.60926011099963)","OHT01","ASM01","H87","24","State","Maryland"
2001,"Alcohol and Other Drug Use","Other Drug Use","Ever methamphetamine use","Ever used methamphetamines","also called ""speed,"" ""crystal,"" ""crank,"" or ""ice,"" one or more times during their life",11.2,6.66,18.11,"Never used methamphetamines",88.8,81.89,93.34,260,"Male","White","12th","(44.6613195430005, -84.71439026999968)","AOD01","ODU01","H53","26","State","Michigan"
2011,"Physical Activity","Physical Activity","Computer use","Played video or computer games or used a computer 3 or more hours per day","for something that was not school work on an average school day",19.9,14.66,26.52,"Did not play video or computer games or use a computer 3 or more hours per day",80.1,73.48,85.34,126,"Female","Total","11th","(35.47203135600046, -97.52107021399968)","PHA01","PAC01","H82","40","State","Oklahoma"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Bicycle helmet use","Never or rarely wore a bicycle helmet","among students who had ridden a bicycle during the 12 months before the survey",50.4,48.07,52.76,"Sometimes, most of the time, or always wore a bicycle helmet",49.6,47.24,51.93,1723,"Female","Total","10th","(43.62538123900049, -72.51764079099962)","UIV01","UIN01","H8","50","State","Vermont"
1997,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting","Were in a physical fight","one or more times during the 12 months before the survey",33.5,28.82,38.43,"Were not in a physical fight",66.5,61.57,71.18,483,"Total","Total","11th","(40.06021014100048, -82.40426005599966)","UIV01","VIO01","H18","39","State","Ohio"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting at school","Were in a physical fight on school property","one or more times during the 12 months before the survey",1.9,0.63,5.36,"Were not in a physical fight on school property",98.1,94.64,99.37,101,"Total","Asian","Total","(40.48501028300046, -88.99771017799969)","UIV01","VIO01","H20","17","State","Illinois"
2015,"Tobacco Use","Other Tobacco Use","Current cigarette, cigar, or smokeless tobacco use","Currently used cigarettes, cigars, or smokeless tobacco","on at least 1 day during the 30 days before the survey",10.6,5.53,19.33,"N/A",89.4,80.67,94.47,119,"Female","Multiple Race","Total","(39.008830667000495, -75.57774116799965)","TUS01","OTU01","QNTOB3","10","State","Delaware"
1997,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Suicide plan","Made a plan about how they would attempt suicide","during the 12 months before the survey",12.5,9,17.16,"Did not make a plan about how they would attempt suicide",87.5,82.84,91,283,"Male","Total","12th","(40.06021014100048, -82.40426005599966)","UIV01","SRB01","H28","39","State","Ohio"
2015,"Sexual Behaviors","Sexual Behaviors","Alcohol/drugs and sex","Drank alcohol or used drugs","before last sexual intercourse, among students who were currently sexually active",19.2,14.81,24.45,"Did not drink alcohol or use drugs",80.8,75.55,85.19,409,"Female","Total","Total","(39.008830667000495, -75.57774116799965)","SBH01","SXB01","H64","10","State","Delaware"
2013,"Alcohol and Other Drug Use","Other Drug Use","Ever inhalant use","Ever used inhalants","sniffed glue, breathed the contents of aerosol spray cans, or inhaled any paints or sprays to get high, one or more times during their life",8,4.59,13.63,"Never used inhalants",92,86.37,95.41,402,"Female","Total","12th","(40.48501028300046, -88.99771017799969)","AOD01","ODU01","H51","17","State","Illinois"
1999,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Weapon carrying at school","Carried a weapon on school property","such as, a gun, knife, or club, on at least 1 day during the 30 days before the survey",3.4,2.66,4.41,"Did not carry a weapon on school property",96.6,95.59,97.34,3518,"Female","Total","Total","(43.62538123900049, -72.51764079099962)","UIV01","VIO01","H15","50","State","Vermont"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical dating violence","Experienced physical dating violence","counting being hit, slammed into something, or injured with an object or weapon on purpose by someone they were dating or going out with one or more times during the 12 months before the survey,  among students who dated or went out with someone during the 12 months before the survey",22.4,14.23,33.33,"Did not experience physical dating violence",77.6,66.67,85.77,106,"Female","Hispanic or Latino","11th","(21.304850435000446, -157.85774940299973)","UIV01","VIO01","H22","15","State","Hawaii"
